,dst,src
0,juanchohg14,CapelaClint
1,kwiltj,CapelaClint
2,JackieMazarella,CapelaClint
3,Jonathan_Feigen,CapelaClint
4,BaronDavis,CapelaClint
5,MONSTATREZZ,CapelaClint
6,ZachLowe_NBA,CapelaClint
7,lifeofnanu_32,CapelaClint
8,TheofficialEG10,CapelaClint
9,Earl_Thomas,CapelaClint
10,BassyS31T,CapelaClint
11,AlinePicard71,CapelaClint
12,Ligue1Conforama,CapelaClint
13,LaLigaEN,CapelaClint
14,premierleague,CapelaClint
15,ThaboSefolosha,CapelaClint
16,GoodmanESPN,CapelaClint
17,KurtZouma,CapelaClint
18,BBROWNLAU,CapelaClint
19,BleacherReport,CapelaClint
20,MoussaSissoko,CapelaClint
21,NeneHilario42,CapelaClint
22,patbev21,CapelaClint
23,foe23,CapelaClint
24,PierreMenes,CapelaClint
25,TheVertical,CapelaClint
26,beinsports_FR,CapelaClint
27,ShamsCharania,CapelaClint
28,GabbyHinojosa1,CapelaClint
29,NBA,CapelaClint
30,Pedritoo66,CapelaClint
31,Rossier,CapelaClint
32,PPrigioni9,CapelaClint
33,dekker,CapelaClint
34,LGomensoro,CapelaClint
35,toure_murry,CapelaClint
36,YahooSportsNBA,CapelaClint
37,KJMcDaniels,CapelaClint
38,wojespn,CapelaClint
39,DonatasMot,CapelaClint
40,AlexandraPrvl,CapelaClint
41,BandjaSy,CapelaClint
42,JulieVlt,CapelaClint
43,CraazyMaee,CapelaClint
44,Osnii_13,CapelaClint
45,TJBullock11,CapelaClint
46,JSmoove1031,CapelaClint
47,NoonoBale,CapelaClint
48,SiP03,CapelaClint
49,Bebe92,CapelaClint
50,footmercato,CapelaClint
51,lequipe,CapelaClint
52,20minutesOnline,CapelaClint
53,closerfr,CapelaClint
54,tdgch,CapelaClint
55,Jclifio,CapelaClint
56,moubandjef,CapelaClint
57,BouteilleAxel,CapelaClint
58,1chris5,CapelaClint
59,iamnjohn13,CapelaClint
60,7Jenny,CapelaClint
61,Brand1F,CapelaClint
62,HoustonRockets,CapelaClint
63,dmorey,CapelaClint
64,Kevin_Baboo,CapelaClint
65,AndrewComsport,CapelaClint
66,JoshDavis_22,CapelaClint
67,LarryComsport,CapelaClint
68,rudygobert27,CapelaClint
69,SebBtt,CapelaClint
70,DusanLangura,CapelaClint
71,DamienINGLIS,CapelaClint
72,realscornovy,CapelaClint
73,alex_piguet,CapelaClint
74,ludo_deroin,CapelaClint
75,GregBeaud,CapelaClint
76,most__dope,CapelaClint
77,MarcJSpearsESPN,CapelaClint
78,CapelaLandry,CapelaClint
79,CamilleFleury6,CapelaClint
80,fernandespauli1,CapelaClint
81,nicolas88batum,CapelaClint
82,Earvin_S,CapelaClint
83,Marylou_Iam,CapelaClint
84,mamjaiteh14,CapelaClint
85,Nobeezy16,CapelaClint
86,Clement____,CapelaClint
87,MrJonBrockman,CapelaClint
88,yohannsangare,CapelaClint
89,CoralieTn,CapelaClint
90,DalloBoris12,CapelaClint
91,daplayboy14,CapelaClint
92,IlianEvtimov,CapelaClint
93,RealKrisJo,CapelaClint
94,BenjitoDelAmor,CapelaClint
95,ajslaughter8,CapelaClint
96,yakubaouattara,CapelaClint
97,BBFromLA,CapelaClint
98,ELANCHALON,CapelaClint
99,JordanAboudou,CapelaClint
100,Boundiaye,CapelaClint
101,TheoLefebvre,CapelaClint
102,steed18,CapelaClint
103,iamthatjay,CapelaClint
104,FredAdji,CapelaClint
105,TFlooww,CapelaClint
106,ThiasLsf,CapelaClint
107,Assane1628NDoye,CapelaClint
108,Benji6Sene,CapelaClint
109,HAAROUNNN,CapelaClint
110,Massedoine_5,CapelaClint
111,GoldyCapela,CapelaClint
112,LuFe_DaIi,CapelaClint
113,Nabil_Kechouhen,CapelaClint
114,LnaSheyna,CapelaClint
115,Mackpaye,CapelaClint
116,youssou15fall,CapelaClint
117,Ab_salom,CapelaClint
118,MaquartLoic,CapelaClint
119,SeanKilpatrick,DeMarreCarroll1
120,JLin7,DeMarreCarroll1
121,BrooklynNets,DeMarreCarroll1
122,Chris_Broussard,DeMarreCarroll1
123,MarcJSpearsESPN,DeMarreCarroll1
124,ZachLowe_NBA,DeMarreCarroll1
125,wojespn,DeMarreCarroll1
126,kirstinestewart,DeMarreCarroll1
127,Teamcarroll2020,DeMarreCarroll1
128,MOTeamCarroll,DeMarreCarroll1
129,THEFAMILYAL,DeMarreCarroll1
