,dst,src
0,ChrisFischer07,IamJJ16
1,HQonESPN,IamJJ16
2,ACCRAGolfShafts,IamJJ16
3,MiamiHEAT,IamJJ16
4,bomani_jones,IamJJ16
5,Stugotz790,IamJJ16
6,LeBatardShow,IamJJ16
7,bismackbiyombo,IamJJ16
8,SLCsFinest,IamJJ16
9,NALUDAMagazine,IamJJ16
10,DC_BornNRaised,IamJJ16
11,JCrossover,IamJJ16
12,CoachMuse,IamJJ16
13,CoachTomParks,IamJJ16
14,JayHairston,IamJJ16
15,JennaWolfe,IamJJ16
16,jennajdaley,IamJJ16
17,Agent__0,IamJJ16
18,ishsmith,IamJJ16
19,jabsnewby,IamJJ16
20,meomine09,IamJJ16
21,DevtheGr8est1,IamJJ16
22,itzLokaa,IamJJ16
23,KingL,IamJJ16
24,michael_thedr,IamJJ16
25,Kid_5_,IamJJ16
26,Isaiah_Thomas,IamJJ16
27,2fastWJ,IamJJ16
28,LoudiaK,IamJJ16
29,Wiggys__WORLD,IamJJ16
30,Cory_Joe,IamJJ16
31,JHarden13,IamJJ16
32,DeMarreCarroll1,IamJJ16
33,npowell2404,IamJJ16
34,delonwright,IamJJ16
35,Corey_Maggette,IamJJ16
36,SupermanJohnson,IamJJ16
37,GeorgeSamia,IamJJ16
38,MarcGasol,IamJJ16
39,Rinku_FSMedia,IamJJ16
40,jays4dayz419,IamJJ16
41,ChowFunBlogs,IamJJ16
42,gregstiemsma,IamJJ16
43,lildurk,IamJJ16
44,greivisvasquez,IamJJ16
45,IamAmirJohnson,IamJJ16
46,Bebe92,IamJJ16
47,T_Time51,IamJJ16
48,c_hayes44,IamJJ16
49,TeamLou23,IamJJ16
50,landryfields,IamJJ16
51,Klow7,IamJJ16
52,Bruno_Caboclo,IamJJ16
53,pdpatt,IamJJ16
54,LegionHoops,IamJJ16
55,PScissorhand,IamJJ16
56,_juliabellini,IamJJ16
57,AndrewJoannides,IamJJ16
58,TriggerTr3,IamJJ16
59,Vijohnson3,IamJJ16
60,ISHJOHNSON,IamJJ16
